"gauge_id","gauge_name","area_km2","date","sim_short_name","sim_pr_name","sim_pet_name","sim_txn_name","sim_lai_name","pr_mm_mon_LTM_1960_2020","et_mm_mon_LTM_1960_2020","tmin_C_mon_LTM_1960_2020","tmax_C_mon_LTM_1960_2020","tavg_C_mon_LTM_1960_2020","pet_mm_mon_LTM_1960_2020","qobs_m3s_mon_LTM_1960_2020","qobs_mm_mon_LTM_1960_2020","qsim_m3s_mon_LTM_1960_2020","qsim_mm_mon_LTM_1960_2020","pr_mm_mon_LTM_1960_1990","et_mm_mon_LTM_1960_1990","tmin_C_mon_LTM_1960_1990","tmax_C_mon_LTM_1960_1990","tavg_C_mon_LTM_1960_1990","pet_mm_mon_LTM_1960_1990","qobs_m3s_mon_LTM_1960_1990","qobs_mm_mon_LTM_1960_1990","qsim_m3s_mon_LTM_1960_1990","qsim_mm_mon_LTM_1960_1990","pr_mm_mon_LTM_1990_2020","et_mm_mon_LTM_1990_2020","tmin_C_mon_LTM_1990_2020","tmax_C_mon_LTM_1990_2020","tavg_C_mon_LTM_1990_2020","pet_mm_mon_LTM_1990_2020","qobs_m3s_mon_LTM_1990_2020","qobs_mm_mon_LTM_1990_2020","qsim_m3s_mon_LTM_1990_2020","qsim_mm_mon_LTM_1990_2020","pr_mm_mon_LTM_2040_2070","et_mm_mon_LTM_2040_2070","tmin_C_mon_LTM_2040_2070","tmax_C_mon_LTM_2040_2070","tavg_C_mon_LTM_2040_2070","pet_mm_mon_LTM_2040_2070","qobs_m3s_mon_LTM_2040_2070","qobs_mm_mon_LTM_2040_2070","qsim_m3s_mon_LTM_2040_2070","qsim_mm_mon_LTM_2040_2070","pr_mm_mon_LTM_2070_2100","et_mm_mon_LTM_2070_2100","tmin_C_mon_LTM_2070_2100","tmax_C_mon_LTM_2070_2100","tavg_C_mon_LTM_2070_2100","pet_mm_mon_LTM_2070_2100","qobs_m3s_mon_LTM_2070_2100","qobs_mm_mon_LTM_2070_2100","qsim_m3s_mon_LTM_2070_2100","qsim_mm_mon_LTM_2070_2100"
10134001,"Rio Cruces En Rucaco",1802.60375304962,"Jan","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",67.5128876732857,111.966141509945,9.22855918092161,22.7945795168096,15.7829753969432,172.410476867155,22.0703168880455,31.7353501994175,19.722253704495,28.3590231716575,74.7693484310078,112.059112573556,9.14331860574734,22.49098059354,15.6575990813086,170.272331952223,NA,NA,19.730063657128,28.370253258797,59.5073227602199,112.230937567838,9.3406796493059,23.0761357002391,15.9094280782868,174.268481099152,21.0363902185224,30.2486463562295,19.8377955015609,28.5251630332262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134001,"Rio Cruces En Rucaco",1802.60375304962,"Feb","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",64.6256398513859,80.3229342669237,9.37754127755795,23.0163357261724,15.7066092078734,140.0022112227,15.696521523552,22.5703423285432,12.5398477009509,18.0312978855592,69.6408752754153,83.0871327067867,9.24715539009165,22.5522653182637,15.4988000234492,137.321602031378,NA,NA,12.8744912340458,18.5124885167861,59.4274536934328,77.7543960791571,9.53245887950779,23.5039245371207,15.9342377224147,142.744823560449,14.3793932941363,20.6764172965613,12.211079749277,17.5585558704063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134001,"Rio Cruces En Rucaco",1802.60375304962,"Mar","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",97.5653618931627,68.2119034903256,8.20554393822903,20.6826896128431,13.9017554488371,105.263977880781,14.7268632972902,21.1760513656966,8.8770048952935,12.7644229352536,95.4882205329141,68.177949401117,8.05380305705922,20.4278935698461,13.775655964875,104.465806976374,NA,NA,8.91143722747138,12.8139338745568,101.440640932942,67.8126443638307,8.34892875463266,20.9348402797088,14.0214877002936,106.103175634901,14.1525800670598,20.350278019647,8.8238051698231,12.6879259856683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134001,"Rio Cruces En Rucaco",1802.60375304962,"Apr","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",166.890312373129,47.952855395409,6.35902212996101,16.5878683981959,11.0294425156436,56.8685709747761,23.866191739553,34.3176745772694,16.1161822025137,23.1737808146933,165.568746248352,47.6808218239826,6.26608982097681,16.5559116187646,10.9968369442234,56.8313826655128,NA,NA,17.8972409646237,25.734800841185,170.006902417246,48.3621485072559,6.45074101122895,16.583598123603,11.0408629798135,56.774691981286,23.0503998463902,33.1446310930868,15.2485707695699,21.9262249775407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134001,"Rio Cruces En Rucaco",1802.60375304962,"May","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",320.77730240938,32.7265131540723,5.22989472521548,13.2511688567034,8.90727262804896,32.531375736815,76.7213552987177,110.319171696966,70.9160701722369,101.971636071135,340.052551670823,32.9480365560274,5.21547570415591,13.1618928380682,8.94179720553933,32.2933364605002,NA,NA,77.6471158841832,111.650341363881,302.709467147947,32.5284685918522,5.23971719257531,13.3134907667228,8.85813897506006,32.710459041336,63.3336666666667,91.0687463743903,66.0447614902185,94.9670838602399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134001,"Rio Cruces En Rucaco",1802.60375304962,"Jun","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",385.214202724287,23.0774540139348,3.61096700540078,10.4733121664706,6.85133468427962,22.1300040700761,169.743594771242,244.077710868356,173.202518959617,249.051367159209,363.980975246083,23.023246657618,3.53039409593309,10.4152848535021,6.83155295943525,22.1142368491705,NA,NA,163.837618868817,235.585389961342,404.011969957457,23.1402776557042,3.68149749726066,10.5484694847493,6.8731748969204,22.1828917553385,169.438222222222,243.638609570736,182.13734146957,261.898927199299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134001,"Rio Cruces En Rucaco",1802.60375304962,"Jul","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",355.290446540059,27.1397960439354,2.84636057392888,9.93174170070272,6.18032536292189,26.6265734979677,201.079809810465,289.136681395991,191.182972639344,274.905821228222,363.103626488774,27.0428965382391,2.94175582377396,9.86362114317614,6.24515181609266,26.3964036988722,NA,NA,190.687248467638,274.193009524103,342.643643891167,27.2704118048938,2.74759796191827,10.0252939199394,6.12217779458966,26.9151559015229,186.570192806822,268.273012822232,189.392447602393,272.331189455751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134001,"Rio Cruces En Rucaco",1802.60375304962,"Aug","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",310.441412734342,40.5344634085833,3.0527918882693,11.1544159131847,6.85760519102549,40.5033820586014,175.144363655914,251.843584497204,172.137242823374,247.519585290636,313.407926108911,40.3507267315444,3.03723811864225,11.0730438743909,6.84707265822828,40.3225025437573,NA,NA,177.137442537981,254.709472495927,307.017275857137,40.7256006916211,3.10656574911001,11.2899410226312,6.91665235698202,40.7640042629998,164.923541342232,237.146859611192,166.606881531842,239.567368147295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134001,"Rio Cruces En Rucaco",1802.60375304962,"Sep","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",185.801432838749,62.965161773812,3.55481673346725,13.58248443117,8.26031587282945,65.1976175758736,122.637969544741,176.343589944372,120.213257861421,172.857048505338,188.844643414878,62.9191743933148,3.45454170347727,13.3917193399532,8.18854815638177,64.6472025925459,NA,NA,118.65211907914,170.612255817635,186.458093673779,63.0830220659603,3.67465811080228,13.7771259943456,8.34379867767129,65.7034974519103,124.728606666667,179.34975888797,122.674038156237,176.395453722442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10134001,"Rio Cruces En Rucaco",1802.60375304962,"Oct","hist_cr2met_lai_ltm_sat","cr2met","cr2met_hsm","cr2met","AVHRR_VGT_LTM",161.268908656451,91.9312500700775,4.97335311839412,15.8681064098546,10.1590167117397,96.9550618814709,87.0499941628264,125.170928157851,78.6140809286621,113.040759746761,162.499041313525,91.3983568660913,4.96179615265609,15.7624290057785,10.1503549137954,96.4119729000339,NA,NA,79.5782812887617,114.427202734661,159.10607890778,92.4650232878012,4.98821410722223,15.9776872234917,10.1738376622536,97.52104972891,82.6491397849462,118.842851602941,77.5720875247659,111.542456584832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
